Stage,Difficulties,BarrageIds,SC,JP,EN,VN,DoExport2A0
1,Easy|Normal,8|25,降符「赤道极夜」,降符「赤道極夜」,"Fall Sign ""Equatorial Polar Night""","Giáng Phù ""Xích Đạo Cực Dạ""",
1,Hard|Lunatic,43|63,扰符「障目极焰」,攪符「カモフラージュフレイム」,"Jam Sign ""Camouflage Flame""","Nhiễu Phù ""Chướng Mục Cực Diễm""",
1,Easy|Normal,15|32,暗符「夜光障眼法」,暗符「夜光カモフラージュ」,"Dark Sign ""Noctiluent Camouflage""","Ám Phù ""Dạ Quang Chướng Nhãn Pháp""",
1,Hard|Lunatic,50|72,逃逸「魔法牢笼」,逃逸「ウイザードリの籠」,"Escape ""Magic Cage""","Lẩn trốn ""Cái cũi Ma pháp""",
1,Easy|Normal|Hard|Lunatic,17|34|52|74,夜符「绝对黑暗视界」,夜符「絶対暗黒視界」,"Night Sign ""Absolute Dark Sight""","Dạ Phù ""Tầm nhìn Hắc ám Tuyệt đối""",
1,Challenge,12\0,扰符「黑暗分解」,攪符「ダークコラプス」,"Jam Sign ""Darkness Collapse""","Nhiễu Phù ""Hắc Ám Phân Giải""",
1,Challenge,12\1,黑洞「光子吞噬」,ブラックホール「フォトン·インガルフ」,"Black Hole ""Photon Engulf""","Lỗ đen ""Quang tử Cắn nuốt""",
1,Challenge,12\2,夜符「大火星河」,夜符「超銀河ハナビ」,"Night Sign ""Flaming Fireworks Galaxy""","Dạ Phù ""Đại Hỏa Tinh Hà""",
1,Challenge,12\3,光符「光脉星散」,光符「閃くレーザー、散るスター」,"Light Sign ""Shattering stars and Laser""","Quang Phù ""Quang Mạch – Tinh Tán""",
1,Challenge,12\4,「破碎的星尘」,「砕けるスターダスト」,"""Shattered Stardust""","""Bụi sao Vụn vỡ""",
2,Hard|Lunatic,47|69,「微风祈愿」,「そよ風の祈り」,"""Wish of Breeze""","""Cầu nguyện Gió thoảng""",
2,Easy|Normal|Hard|Lunatic,14|31|49|71,冰符「百发百中速冻光弹」,氷符「百発百中！アイシクル·ホーミングミサイル」,"Ice Sign ""No miss!Icicle homing missile""","Băng Phù ""Tốc Đống Quang Đạn Đố mà Hụt""",8
2,Easy|Normal|Hard|Lunatic,16|33|51|73,冻符「天冰乱坠」,凍符「つららおとし」,"Freeze Sign ""Icicle Cone Crash""","Đống Phù ""Thiên Băng Loạn Trụy""",
2,Easy|Normal,17|34,霜冻「凝结流星」,霜符「フロストメテオ」,"Frost Sign ""Frost meteor""","Sương giá ""Sao chổi Ngưng đọng""",
2,Hard|Lunatic,52|74,「超大型冰冻魔法」,「超弩級アイスマジック」,"""Gigantic Ice Magic""","""Ma pháp Băng giá Cỡ Siêu đại""",
2,Challenge,22\5,「闪亮冰泉爆涌大喷发」,「キラキラ！氷泉！大爆射！」,"""Blingbling Ice Flood Bursting Eruption""","""Suối Băng Long lánh Tuôn trào Dữ dội""",
2,Challenge,22\6,「冰封的足迹」,「フローズン·フートプリンツ」,"Ice Sign ""Frozen Footprints""","Băng Phù ""Dấu chân Đóng băng""",
2,Challenge,22\7,「旋转吧！冰之轮」,「回れ！氷の輪！」,"Ice Sign ""Spin! Wheel of Ice!""","Băng Phù ""Xoay tròn đi! Hỡi vầng băng!""",
3,Easy|Normal|Hard|Lunatic,32|34|36|38,华符「极彩华焰」,華符「極彩華焔」,"Flower Sign ""Ultimate colourful Firework""","Hoa Phù ""Cực Thái Hoa Diễm""",
3,Easy|Normal|Hard|Lunatic,48|54|60|66,彩符「流云极芳」,彩符「流雲極芳」,"Colorful Sign ""Aromatic flowing Clouds""","Thái Phù ""Lưu Vân Cực Phương""",
3,Easy|Normal|Hard|Lunatic,50|56|62|68,华符「彩虹风暴」,華符「彩虹風暴」,"Flower Sign ""Rainbow Storm""","Hoa Phù ""Bão táp Cầu vồng""",
3,Easy|Normal|Hard|Lunatic,52|58|64|70,莲符「混元天成」,蓮符「混元天成」,"Lotus Sign ""Primival Chaos""","Liên Phù ""Hỗn Nguyên Thiên Thành""",
3,Lunatic,71,「彩云之国」,「彩雲の国」,"""Kingdom of Colorful Cloud""","""Thái Vân Chi Quốc""",
3,Challenge,32\8,莲符「地涌金莲」,蓮符「地湧金蓮」,"Lotus Sign ""Musella lasiocarpa""","Liên Phù ""Địa Dũng Kim Liên""",
