Group,SC,JP,EN,VN
Normal,"感谢支持
进入游戏","応援してくれてありがとうございます
ゲームに入る","Thanks for your support
Enter the game","Cảm tạ Giúp đỡ
Vào game."
Normal,"初次见面
进行过一次关卡游戏","初めまして
ステージを一つクリア","Nice to meet you
Start the game in single mode","Gặp mặt Lần đầu
Bắt đầu phần chơi một lần."
Normal,"一周目
不续关通关一次","一周目
一度ノーコンティニューでゲームクリア","First round
All cleared without continuing","Vòng thứ nhất
Phá ván một lần mà không dùng continue."
Normal,"全机体通关
要求所有机体不续关通关一次","全自機クリア
すべての自機でノーコンゲームクリア","All characters cleared
All characters all cleared without continuing","Toàn nhân vật Phá đảo
Yêu cầu tất cả nhân vật phá ván một lần không dùng continue."
Normal,"全难度通关
要求任意一机体在所有难度下不续关通关一次","全難易度クリア
一人の自機で、全難易度ノーコンクリア","All difficult level cleared
Use any of the characters to all clear without continuing","Phá đảo Toàn độ khó
Yêu cầu phá ván một lần không dùng continue tất cả độ khó bằng nhân vật bất kì."
Normal,"幻想乡制霸
要求所有机体在所有难度下不续关通关一次","幻想郷制覇
すべての自機で、全難易度ノーコンクリア","Conquer the Gensokyo
Require all characters all cleared in all difficult level","Làm bá Ảo Tưởng Hương
Yêu cầu bằng tất cả nhân vật phá ván tất cả độ khó một lần không dùng continue."
Challenge,"见证银河的消失
坚持到黑洞「银河之心」的最后10秒，或坚持到黑洞「银河灾变」的最后10秒","銀河の消失を見届く
ブラックホール「ギャラクシー·ハート」/「ギャラクシー·カタストロフ」の最後の10秒まで凌ぐ","Witness the dying of the galaxy
Hold on until last 10 seconds of Black hole ""Heart of Galaxy"" or ""Galaxy Cataclysm""","Chứng kiến Sự biến mất của Ngân hà
Kiên trì đến 9 giây cuối cùng của Lỗ đen ""Trái tim Ngân hà"" hoặc ""Ngân Hà Tai Biến""."
Challenge,"百发不中
全避冰符「百发百中速冻光弹」","百発零中
氷符「百発百中アイシクル·ホーミングミサイル」を避け切る","Missed All
Dodge the bullets of the spell card ""No miss! Iciclehoming missile"" completely","Trăm Phát Không Trúng
Chỉ né trong spellcard ""Băng Phù Tốc Đống Quang Đạn Trăm Phát Trăm Trúng"" mà không bị hoặc làm gì khác."
Challenge,"底力爆发
无MISS无BOMB的情况下收取终焉「恶魔祭典」","底力爆発
ミスなし、且つボムを使わないまま終焉「デビルフェス」を取得する","Potential outbreak
Capture Amergaddon ""Devil Fiesta"" no Miss no BOMB","Tiềm Lực Bộc Phát
Bắt được spell Cái kết ""Lễ hội Ác ma"" dưới điều kiện không MISS không BOMB."
Challenge,"恶魔的疯狂
坚持到芙兰朵露斯卡雷特最后一张非符的最后5秒","悪魔の狂気
フランドール·スカーレットの最後の通常弾幕の最後の5秒まで凌ぐ","Devil's craziness
Hold on until the last 5 seconds of Flandre Scarlet'slast non-spell","Sự điên rồ của Ác ma
Kiên trì đến 5 giây cuối cùng của non-spell cuối cùng của Flandre Scarlet."
